name,<10,10-19,20-29,30-39
AL,598478,638789,661666,603013
AK,106741,99926,120674,102008
AZ,892083,912735,939804,857054
AR,392177,397185,399698,372998
CA,5038433,5170341,5809455,5354112
CO,690830,697447,780508,766382
CT,399369,481065,462323,424890
DE,112177,117854,127554,114063
DC,74377,62783,136976,121520
FL,2211012,2331102,2597830,2416176
GA,1363631,1421557,1418696,1357210
HI,176484,163559,204336,187590
ID,236658,239509,218684,209500
IL,1619682,1715984,1789739,1721954
IN,863029,905594,905590,827086
IA,401712,418667,419456,383638
